name,decade,show,
Lucy,1950,I Love Lucy,
Richard,1950,I Love Lucy,
Ricky,1950,I Love Lucy,
Adam,1960,Bonanza,
Ben,1960,Bonanza,
Eric,1960,Bonanza,
Joseph,1960,Bonanza,
Candy,1960,Bonanza,
Jamie,1960,Bonanza,
Archie,1970,All in the Family,
Archibald,1970,All in the Family,
Edith,1970,All in the Family,
Gloria,1970,All in the Family,
Richie,1970,Happy Days,
Fonzie,1970,Happy Days,
Howard,1970,Happy Days,
Marion,1970,Happy Days,
Joanie,1970,Happy Days,
Potsie,1970,Happy Days,
Ralph,1970,Happy Days,
Charles,1970,Little House on the Prairie,
Laura,1970,Little House on the Prairie,
Caroline,1970,Little House on the Prairie,
Mary,1970,Little House on the Prairie,
Albert,1970,Little House on the Prairie,
Nellie,1970,Little House on the Prairie,
Harriet,1970,Little House on the Prairie,
Cliff,1980,Cosby Show,
Heathcliff,1980,Cosby Show,
Sondra,1980,Cosby Show,
Denise,1980,Cosby Show,
Theo,1980,Cosby Show,
Vanessa,1980,Cosby Show,
Rudy,1980,Cosby Show,
Olivia,1980,Cosby Show,
Elvin,1980,Cosby Show,
Blake,1980,Dynasty,
Alexis,1980,Dynasty,
Krystle,1980,Dynasty,
Crystal,1980,Dynasty,
Kristal,1980,Dynasty,
Krystal,1980,Dynasty,
Adam,1980,Dynasty,
Jeff,1980,Dynasty,
Fallon,1980,Dynasty,
Steven,1980,Dynasty,
Dominique,1980,Dynasty,
Sammy,1980,Dynasty,
Claudia,1980,Dynasty,
Bobby,1980,Dallas,
Sue Ellen,1980,Dallas,
Pamela,1980,Dallas,
Cliff,1980,Dallas,
Ellie,1980,Dallas,
Donna,1980,Dallas,
Ray,1980,Dallas,
Jerry,1990,Seinfeld,
George,1990,Seinfeld,
Elaine,1990,Seinfeld,
Kramer,1990,Seinfeld,
Rachel,1990,Friends,
Ross,1990,Friends,
Monica,1990,Friends,
Chandler,1990,Friends,
Joey,1990,Friends,
Phoebe,1990,Friends,
Mark,1990,ER,
Doug,1990,ER,
Susan,1990,ER,
John,1990,ER,
Caroline,1990,ER,
Peter,1990,ER,
Kerry,1990,ER,
Elizabeth,1990,ER,
Abby,1990,ER,
Tony,2000,Sopranos,
Carmela,2000,Sopranos,
Jennifer,2000,Sopranos,
Paulie,2000,Sopranos,
Christopher,2000,Sopranos,
Rachel,2000,Friends,
Ross,2000,Friends,
Monica,2000,Friends,
Chandler,2000,Friends,
Joey,2000,Friends,
Phoebe,2000,Friends,
Jack,2000,Lost,
Kate,2000,Lost,
James,2000,Lost,
Sayid,2000,Lost,
John,2000,Lost,
Hurley,2000,Lost,
Jon,2010,Game of Thrones,
Daenerys,2010,Game of Thrones,
Tyrion,2010,Game of Thrones,
Cersei,2010,Game of Thrones,
Arya,2010,Game of Thrones,
Sansa,2010,Game of Thrones,
Walter,2010,Breaking Bad,
Jesse,2010,Breaking Bad,
Jessie,2010,Breaking Bad,
Skyler,2010,Breaking Bad,
Hank,2010,Breaking Bad,
Saul,2010,Breaking Bad,
Mike,2010,Stranger Things,
Dustin,2010,Stranger Things,
Lucas,2010,Stranger Things,
Will,2010,Stranger Things,
Jim,2010,Stranger Things,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
